user_id;authority_name
1;ADMIN
3;ADMIN
4;ADMIN
5;ADMIN
6;ADMIN
7;ADMIN
8;ADMIN
9;USER
10;ADMIN
11;ADMIN
12;ADMIN
13;ADMIN
14;USER
15;USER
16;USER
17;USER
18;USER
19;USER
20;USER
21;USER
22;USER
23;USER
24;USER
25;USER
26;USER
27;USER
28;USER
29;USER
30;USER
31;USER
32;USER
33;USER
34;USER
35;USER
36;USER
37;USER
38;USER
39;USER
40;USER
41;USER
42;USER
43;USER
44;USER
45;USER
46;USER
47;USER
48;USER
49;USER
50;USER
51;USER
52;USER
53;USER
54;USER
55;USER
56;USER
57;USER
58;USER
59;USER
60;USER
61;USER
62;USER
63;USER
64;USER
65;USER
66;USER
67;USER
68;USER
69;USER
70;USER
71;USER
72;USER
73;USER
74;USER
75;USER
76;USER
77;USER
78;USER
79;USER
80;USER
81;USER
82;USER
83;USER
84;USER
85;USER
86;USER
87;USER
88;USER
89;USER
90;USER
91;USER
92;USER
93;USER
94;USER
95;USER
96;USER
97;USER
98;USER
99;USER
100;USER
101;USER
102;USER
103;USER
104;USER
105;USER
106;USER
107;USER
108;USER
109;USER
110;USER
111;USER
112;USER
113;USER
114;USER
115;USER
116;USER
117;USER
118;USER
119;USER
120;USER
121;USER
122;USER
123;USER
124;USER
125;USER
126;USER
127;USER
128;USER
129;USER
130;USER
131;USER
132;USER
133;USER
134;USER
